,SE UniICD,System,Description
15121,"8:152,2",Neoplasms,Malignant neuroendocrine tumors
15122,"8:152,9",Neoplasms,Malignant neuroendocrine tumors
15123,8:153,Neoplasms,Malignant neuroendocrine tumors
15124,"8:153,0",Neoplasms,Malignant neuroendocrine tumors
15125,"8:153,1",Neoplasms,Malignant neuroendocrine tumors
15126,"8:153,2",Neoplasms,Malignant neuroendocrine tumors
15127,"8:153,3",Neoplasms,Malignant neuroendocrine tumors
15128,"8:153,8",Neoplasms,Malignant neuroendocrine tumors
15129,8:154,Neoplasms,Malignant neuroendocrine tumors
15130,"8:154,1",Neoplasms,Malignant neuroendocrine tumors
15131,8:155,Neoplasms,Malignant neuroendocrine tumors
15132,8:159,Neoplasms,Malignant neuroendocrine tumors
15133,8:162,Neoplasms,Malignant neuroendocrine tumors
15134,"8:162,1",Neoplasms,Malignant neuroendocrine tumors
15135,8:173,Neoplasms,Malignant neuroendocrine tumors
15136,"8:173,3",Neoplasms,Malignant neuroendocrine tumors
15137,"8:173,4",Neoplasms,Malignant neuroendocrine tumors
15138,"8:173,6",Neoplasms,Malignant neuroendocrine tumors
15139,"8:173,7",Neoplasms,Malignant neuroendocrine tumors
15140,"8:173,8",Neoplasms,Malignant neuroendocrine tumors
15141,"8:173,9",Neoplasms,Malignant neuroendocrine tumors
15142,8:189,Neoplasms,Malignant neuroendocrine tumors
15143,"8:189,0",Neoplasms,Malignant neuroendocrine tumors
15144,8:194,Neoplasms,Malignant neuroendocrine tumors
15145,"8:194,2",Neoplasms,Malignant neuroendocrine tumors
15146,8:196,Neoplasms,Malignant neuroendocrine tumors
15147,8:197,Neoplasms,Malignant neuroendocrine tumors
15148,8:198,Neoplasms,Malignant neuroendocrine tumors
15149,8:199,Neoplasms,Malignant neuroendocrine tumors
15150,"8:199,1",Neoplasms,Malignant neuroendocrine tumors
15151,8:211,Neoplasms,Malignant neuroendocrine tumors
15152,8:212,Neoplasms,Malignant neuroendocrine tumors
15153,8:223,Neoplasms,Malignant neuroendocrine tumors
15154,8:226,Neoplasms,Malignant neuroendocrine tumors
15155,8:228,Neoplasms,Malignant neuroendocrine tumors
15156,9:209,Neoplasms,Malignant neuroendocrine tumors
15157,9:209A,Neoplasms,Malignant neuroendocrine tumors
15158,9:209B,Neoplasms,Malignant neuroendocrine tumors
15159,9:209C,Neoplasms,Malignant neuroendocrine tumors
15160,9:209D,Neoplasms,Malignant neuroendocrine tumors
15161,10:D37,Neoplasms,Neoplasms of uncertain or unknown behaviour
15162,10:D38,Neoplasms,Neoplasms of uncertain or unknown behaviour
15163,10:D39,Neoplasms,Neoplasms of uncertain or unknown behaviour
15164,10:D40,Neoplasms,Neoplasms of uncertain or unknown behaviour
15165,10:D41,Neoplasms,Neoplasms of uncertain or unknown behaviour
15166,10:D42,Neoplasms,Neoplasms of uncertain or unknown behaviour
15167,10:D43,Neoplasms,Neoplasms of uncertain or unknown behaviour
15168,10:D44,Neoplasms,Neoplasms of uncertain or unknown behaviour
15169,10:D45,Neoplasms,Neoplasms of uncertain or unknown behaviour
15170,10:D46,Neoplasms,Neoplasms of uncertain or unknown behaviour
15171,10:D47,Neoplasms,Neoplasms of uncertain or unknown behaviour
15172,10:D48,Neoplasms,Neoplasms of uncertain or unknown behaviour
15173,8:207,Neoplasms,Neoplasms of uncertain or unknown behaviour
15174,8:208,Neoplasms,Neoplasms of uncertain or unknown behaviour
15175,8:230,Neoplasms,Neoplasms of uncertain or unknown behaviour
15176,"8:230,1",Neoplasms,Neoplasms of uncertain or unknown behaviour
15177,"8:230,2",Neoplasms,Neoplasms of uncertain or unknown behaviour
15178,"8:230,3",Neoplasms,Neoplasms of uncertain or unknown behaviour
15179,"8:230,4",Neoplasms,Neoplasms of uncertain or unknown behaviour
15180,"8:230,5",Neoplasms,Neoplasms of uncertain or unknown behaviour
15181,"8:230,7",Neoplasms,Neoplasms of uncertain or unknown behaviour
15182,8:231,Neoplasms,Neoplasms of uncertain or unknown behaviour
15183,"8:231,1",Neoplasms,Neoplasms of uncertain or unknown behaviour
15184,"8:231,2",Neoplasms,Neoplasms of uncertain or unknown behaviour
15185,"8:231,3",Neoplasms,Neoplasms of uncertain or unknown behaviour
15186,"8:231,4",Neoplasms,Neoplasms of uncertain or unknown behaviour
15187,"8:231,5",Neoplasms,Neoplasms of uncertain or unknown behaviour
15188,"8:231,9",Neoplasms,Neoplasms of uncertain or unknown behaviour
15189,8:232,Neoplasms,Neoplasms of uncertain or unknown behaviour
15190,"8:232,0",Neoplasms,Neoplasms of uncertain or unknown behaviour
15191,"8:232,1",Neoplasms,Neoplasms of uncertain or unknown behaviour
15192,"8:232,2",Neoplasms,Neoplasms of uncertain or unknown behaviour
15193,8:233,Neoplasms,Neoplasms of uncertain or unknown behaviour
15194,8:234,Neoplasms,Neoplasms of uncertain or unknown behaviour
15195,"8:234,9",Neoplasms,Neoplasms of uncertain or unknown behaviour
15196,8:235,Neoplasms,Neoplasms of uncertain or unknown behaviour
15197,8:236,Neoplasms,Neoplasms of uncertain or unknown behaviour
15198,8:237,Neoplasms,Neoplasms of uncertain or unknown behaviour
15199,"8:237,0",Neoplasms,Neoplasms of uncertain or unknown behaviour
15200,"8:237,2",Neoplasms,Neoplasms of uncertain or unknown behaviour
15201,"8:237,3",Neoplasms,Neoplasms of uncertain or unknown behaviour
15202,"8:237,6",Neoplasms,Neoplasms of uncertain or unknown behaviour
15203,"8:237,9",Neoplasms,Neoplasms of uncertain or unknown behaviour
15204,8:238,Neoplasms,Neoplasms of uncertain or unknown behaviour
15205,8:239,Neoplasms,Neoplasms of uncertain or unknown behaviour
15206,"8:239,0",Neoplasms,Neoplasms of uncertain or unknown behaviour
15207,"8:239,1",Neoplasms,Neoplasms of uncertain or unknown behaviour
15208,"8:239,9",Neoplasms,Neoplasms of uncertain or unknown behaviour
15209,8:275,Neoplasms,Neoplasms of uncertain or unknown behaviour
15210,"8:275,9",Neoplasms,Neoplasms of uncertain or unknown behaviour
15211,8:287,Neoplasms,Neoplasms of uncertain or unknown behaviour
15212,"8:287,2",Neoplasms,Neoplasms of uncertain or unknown behaviour
15213,"8:287,9",Neoplasms,Neoplasms of uncertain or unknown behaviour
15214,8:289,Neoplasms,Neoplasms of uncertain or unknown behaviour
15215,"8:289,9",Neoplasms,Neoplasms of uncertain or unknown behaviour
15216,"8:731,4",Neoplasms,Neoplasms of uncertain or unknown behaviour
15217,8:743,Neoplasms,Neoplasms of uncertain or unknown behaviour
15218,9:207,Neoplasms,Neoplasms of uncertain or unknown behaviour
15219,9:207B,Neoplasms,Neoplasms of uncertain or unknown behaviour
15220,9:235,Neoplasms,Neoplasms of uncertain or unknown behaviour
15221,9:235A,Neoplasms,Neoplasms of uncertain or unknown behaviour
15222,9:235B,Neoplasms,Neoplasms of uncertain or unknown behaviour
15223,9:235C,Neoplasms,Neoplasms of uncertain or unknown behaviour
15224,9:235D,Neoplasms,Neoplasms of uncertain or unknown behaviour
15225,9:235E,Neoplasms,Neoplasms of uncertain or unknown behaviour
15226,9:235F,Neoplasms,Neoplasms of uncertain or unknown behaviour
15227,9:235G,Neoplasms,Neoplasms of uncertain or unknown behaviour
15228,9:235H,Neoplasms,Neoplasms of uncertain or unknown behaviour
15229,9:235W,Neoplasms,Neoplasms of uncertain or unknown behaviour
15230,9:235X,Neoplasms,Neoplasms of uncertain or unknown behaviour
15231,9:236,Neoplasms,Neoplasms of uncertain or unknown behaviour
15232,9:236A,Neoplasms,Neoplasms of uncertain or unknown behaviour
15233,9:236B,Neoplasms,Neoplasms of uncertain or unknown behaviour
15234,9:236C,Neoplasms,Neoplasms of uncertain or unknown behaviour
15235,9:236D,Neoplasms,Neoplasms of uncertain or unknown behaviour
15236,9:236E,Neoplasms,Neoplasms of uncertain or unknown behaviour
15237,9:236F,Neoplasms,Neoplasms of uncertain or unknown behaviour
15238,9:236G,Neoplasms,Neoplasms of uncertain or unknown behaviour
15239,9:236H,Neoplasms,Neoplasms of uncertain or unknown behaviour
15240,9:236X,Neoplasms,Neoplasms of uncertain or unknown behaviour
15241,9:237,Neoplasms,Neoplasms of uncertain or unknown behaviour
15242,9:237A,Neoplasms,Neoplasms of uncertain or unknown behaviour
15243,9:237B,Neoplasms,Neoplasms of uncertain or unknown behaviour
15244,9:237C,Neoplasms,Neoplasms of uncertain or unknown behaviour
15245,9:237D,Neoplasms,Neoplasms of uncertain or unknown behaviour
15246,9:237E,Neoplasms,Neoplasms of uncertain or unknown behaviour
15247,9:237F,Neoplasms,Neoplasms of uncertain or unknown behaviour
15248,9:237G,Neoplasms,Neoplasms of uncertain or unknown behaviour
15249,9:237X,Neoplasms,Neoplasms of uncertain or unknown behaviour
15250,9:238,Neoplasms,Neoplasms of uncertain or unknown behaviour
15251,9:238A,Neoplasms,Neoplasms of uncertain or unknown behaviour
15252,9:238B,Neoplasms,Neoplasms of uncertain or unknown behaviour
15253,9:238C,Neoplasms,Neoplasms of uncertain or unknown behaviour
15254,9:238D,Neoplasms,Neoplasms of uncertain or unknown behaviour
15255,9:238E,Neoplasms,Neoplasms of uncertain or unknown behaviour
15256,9:238F,Neoplasms,Neoplasms of uncertain or unknown behaviour
15257,9:238G,Neoplasms,Neoplasms of uncertain or unknown behaviour
15258,9:238H,Neoplasms,Neoplasms of uncertain or unknown behaviour
15259,9:238W,Neoplasms,Neoplasms of uncertain or unknown behaviour
15260,9:238X,Neoplasms,Neoplasms of uncertain or unknown behaviour
15261,9:273,Neoplasms,Neoplasms of uncertain or unknown behaviour
15262,9:273B,Neoplasms,Neoplasms of uncertain or unknown behaviour
15263,9:289,Neoplasms,Neoplasms of uncertain or unknown behaviour
15264,9:289W,Neoplasms,Neoplasms of uncertain or unknown behaviour
15265,9:727A,Neoplasms,Neoplasms of uncertain or unknown behaviour
15266,10:D49,Neoplasms,Neoplasms of unspecified behavior
15267,8:230,Neoplasms,Neoplasms of unspecified behavior
15268,8:231,Neoplasms,Neoplasms of unspecified behavior
15269,8:232,Neoplasms,Neoplasms of unspecified behavior
15270,8:233,Neoplasms,Neoplasms of unspecified behavior
15271,8:237,Neoplasms,Neoplasms of unspecified behavior
15272,"8:237,6",Neoplasms,Neoplasms of unspecified behavior
15273,8:238,Neoplasms,Neoplasms of unspecified behavior
15274,"8:238,0",Neoplasms,Neoplasms of unspecified behavior
15275,"8:238,1",Neoplasms,Neoplasms of unspecified behavior
15276,8:239,Neoplasms,Neoplasms of unspecified behavior
15277,"8:239,1",Neoplasms,Neoplasms of unspecified behavior
15278,"8:239,9",Neoplasms,Neoplasms of unspecified behavior
15279,9:239,Neoplasms,Neoplasms of unspecified behavior
15280,9:239A,Neoplasms,Neoplasms of unspecified behavior
15281,9:239B,Neoplasms,Neoplasms of unspecified behavior
15282,9:239C,Neoplasms,Neoplasms of unspecified behavior
15283,9:239D,Neoplasms,Neoplasms of unspecified behavior
15284,9:239E,Neoplasms,Neoplasms of unspecified behavior
15285,9:239F,Neoplasms,Neoplasms of unspecified behavior
15286,9:239G,Neoplasms,Neoplasms of unspecified behavior
15287,9:239H,Neoplasms,Neoplasms of unspecified behavior
15288,9:239W,Neoplasms,Neoplasms of unspecified behavior
15289,9:239X,Neoplasms,Neoplasms of unspecified behavior
15290,10:C7B,Neoplasms,Secondary neuroendocrine tumors
15291,8:151,Neoplasms,Secondary neuroendocrine tumors
15292,8:152,Neoplasms,Secondary neuroendocrine tumors
15293,8:153,Neoplasms,Secondary neuroendocrine tumors
15294,8:154,Neoplasms,Secondary neuroendocrine tumors
15295,8:155,Neoplasms,Secondary neuroendocrine tumors
15296,8:159,Neoplasms,Secondary neuroendocrine tumors
15297,8:162,Neoplasms,Secondary neuroendocrine tumors
15298,8:173,Neoplasms,Secondary neuroendocrine tumors
15299,8:189,Neoplasms,Secondary neuroendocrine tumors
15300,8:194,Neoplasms,Secondary neuroendocrine tumors
15301,8:196,Neoplasms,Secondary neuroendocrine tumors
15302,"8:196,9",Neoplasms,Secondary neuroendocrine tumors
15303,8:197,Neoplasms,Secondary neuroendocrine tumors
15304,"8:197,7",Neoplasms,Secondary neuroendocrine tumors
15305,8:198,Neoplasms,Secondary neuroendocrine tumors
15306,"8:198,5",Neoplasms,Secondary neuroendocrine tumors
15307,"8:198,9",Neoplasms,Secondary neuroendocrine tumors
15308,8:199,Neoplasms,Secondary neuroendocrine tumors
15309,8:211,Neoplasms,Secondary neuroendocrine tumors
15310,8:212,Neoplasms,Secondary neuroendocrine tumors
15311,8:223,Neoplasms,Secondary neuroendocrine tumors
15312,8:226,Neoplasms,Secondary neuroendocrine tumors
15313,8:228,Neoplasms,Secondary neuroendocrine tumors
15314,9:209,Neoplasms,Secondary neuroendocrine tumors
15315,9:209H,Neoplasms,Secondary neuroendocrine tumors
15316,10:E40,Nutritional diseases,Malnutrition
15317,10:E41,Nutritional diseases,Malnutrition
15318,10:E42,Nutritional diseases,Malnutrition
15319,10:E43,Nutritional diseases,Malnutrition
15320,10:E44,Nutritional diseases,Malnutrition
15321,10:E45,Nutritional diseases,Malnutrition
15322,10:E46,Nutritional diseases,Malnutrition
15323,8:267,Nutritional diseases,Malnutrition
15324,8:268,Nutritional diseases,Malnutrition
15325,8:269,Nutritional diseases,Malnutrition
15326,"8:269,9",Nutritional diseases,Malnutrition
15327,9:260,Nutritional diseases,Malnutrition
15328,9:261,Nutritional diseases,Malnutrition
15329,9:262,Nutritional diseases,Malnutrition
15330,9:263,Nutritional diseases,Malnutrition
15331,9:263A,Nutritional diseases,Malnutrition
15332,9:263B,Nutritional diseases,Malnutrition
15333,9:263C,Nutritional diseases,Malnutrition
15334,9:263W,Nutritional diseases,Malnutrition
15335,9:263X,Nutritional diseases,Malnutrition
15336,10:E65,Nutritional diseases,Obesity and other hyperalimentation
15337,10:E66,Nutritional diseases,Obesity and other hyperalimentation
15338,10:E67,Nutritional diseases,Obesity and other hyperalimentation
15339,10:E68,Nutritional diseases,Obesity and other hyperalimentation
15340,8:277,Nutritional diseases,Obesity and other hyperalimentation
15341,8:278,Nutritional diseases,Obesity and other hyperalimentation
15342,"8:278,0",Nutritional diseases,Obesity and other hyperalimentation
15343,"8:278,1",Nutritional diseases,Obesity and other hyperalimentation
15344,"8:278,2",Nutritional diseases,Obesity and other hyperalimentation
15345,"8:278,9",Nutritional diseases,Obesity and other hyperalimentation
15346,9:278,Nutritional diseases,Obesity and other hyperalimentation
15347,9:278A,Nutritional diseases,Obesity and other hyperalimentation
15348,9:278B,Nutritional diseases,Obesity and other hyperalimentation
15349,9:278C,Nutritional diseases,Obesity and other hyperalimentation
15350,9:278D,Nutritional diseases,Obesity and other hyperalimentation
15351,9:278E,Nutritional diseases,Obesity and other hyperalimentation
15352,9:278W,Nutritional diseases,Obesity and other hyperalimentation
15353,10:E50,Nutritional diseases,Other nutritional deficiencies
15354,10:E51,Nutritional diseases,Other nutritional deficiencies
15355,10:E52,Nutritional diseases,Other nutritional deficiencies
15356,10:E53,Nutritional diseases,Other nutritional deficiencies
15357,10:E54,Nutritional diseases,Other nutritional deficiencies
15358,10:E55,Nutritional diseases,Other nutritional deficiencies
15359,10:E56,Nutritional diseases,Other nutritional deficiencies
15360,10:E58,Nutritional diseases,Other nutritional deficiencies
15361,10:E59,Nutritional diseases,Other nutritional deficiencies
15362,10:E60,Nutritional diseases,Other nutritional deficiencies
15363,10:E61,Nutritional diseases,Other nutritional deficiencies
15364,10:E63,Nutritional diseases,Other nutritional deficiencies
15365,10:E64,Nutritional diseases,Other nutritional deficiencies
15366,8:260,Nutritional diseases,Other nutritional deficiencies
15367,"8:260,0",Nutritional diseases,Other nutritional deficiencies
15368,"8:260,1",Nutritional diseases,Other nutritional deficiencies
15369,"8:260,8",Nutritional diseases,Other nutritional deficiencies
15370,"8:260,9",Nutritional diseases,Other nutritional deficiencies
15371,8:261,Nutritional diseases,Other nutritional deficiencies
15372,8:262,Nutritional diseases,Other nutritional deficiencies
15373,8:263,Nutritional diseases,Other nutritional deficiencies
15374,"8:263,0",Nutritional diseases,Other nutritional deficiencies
15375,"8:263,1",Nutritional diseases,Other nutritional deficiencies
15376,"8:263,8",Nutritional diseases,Other nutritional deficiencies
15377,"8:263,9",Nutritional diseases,Other nutritional deficiencies
15378,8:264,Nutritional diseases,Other nutritional deficiencies
15379,8:265,Nutritional diseases,Other nutritional deficiencies
15380,"8:265,0",Nutritional diseases,Other nutritional deficiencies
15381,"8:265,1",Nutritional diseases,Other nutritional deficiencies
15382,"8:265,9",Nutritional diseases,Other nutritional deficiencies
15383,8:266,Nutritional diseases,Other nutritional deficiencies
